Code,Width,Height,isAPINotFunc,isWhiteNoise,RoadType,ImageType,CarsVisible,isLPVisible,Note
C0356709,1280,720,,,2,1,0,,
C0356801,704,576,,,3,0,1,,
C0356802,704,576,,,3,0,1,,
C0356809,704,576,,,2,0,0,,
C0357001,704,576,,,0,0,1,,
C0357002,704,576,,,0,0,1,,
C0357009,704,576,,,2,0,0,,
C0357101,704,576,,,3,0,1,,
C0357102,704,576,,,3,0,1,,
C0357109,704,576,,,2,0,0,,
C0357201,704,576,,,3,0,1,,
C0357202,704,576,,,3,0,1,,
C0357209,704,576,,,2,0,0,,
C0357301,1280,720,,,3,1,1,,
C0357302,1280,720,,,3,1,1,,
C0357309,1280,720,,,2,1,1,,
C0357401,1280,720,,,3,1,1,,
C0357402,1280,720,,,3,1,1,,
C0357501,1280,720,,,3,1,1,,
C0357502,1280,720,,,3,1,1,,
C0357509,1280,720,,,2,1,0,,
C0357601,1280,720,,,0,1,1,,
C0357602,1280,720,,,0,1,1,,
C0357609,1280,720,,,2,1,0,,
C0357701,704,576,,,3,0,1,,
C0357702,704,576,,,3,0,1,,
C0357801,1280,720,,,3,1,1,,
C0357802,1280,720,,,0,1,1,,
C0357809,1280,720,,,2,1,0,,
C0357901,1280,720,,,3,1,1,,
C0357902,1280,720,,,3,1,1,,
C0357909,1280,720,,,2,1,0,,
C0358001,1280,720,,,0,1,0,,
C0358002,1280,720,,,0,1,1,,
C0358009,1280,720,,,2,1,0,,
C0358101,1280,720,,,0,1,1,,
C0358102,1280,720,,,0,1,1,,
C0358109,1280,720,,,2,1,0,,
C0358401,704,576,,,0,0,1,,
C0358501,704,576,,,3,0,1,,
C0358601,704,576,,,3,0,1,,
C0358701,704,576,,,0,0,1,,
C0358802,704,576,,,0,0,1,,
C0358901,704,576,,,0,0,1,,
C0359001,704,576,,,0,0,1,,
C0359101,704,576,,,3,0,1,,
C0359201,704,576,,,3,0,1,,
C0359301,704,576,,,3,0,1,,
C0359401,704,576,,,3,0,1,,
C0359501,704,576,,,3,0,1,,
C0359601,704,576,,,3,0,1,,
C0359701,704,576,,,3,0,1,,
C0359800,704,576,,,3,0,1,,
C0359900,704,576,,,3,0,1,,
C0360000,704,576,,,3,0,1,,
C0360100,704,576,,,3,0,1,,
C0360200,704,576,,,3,0,1,,
C0360300,704,576,,,3,0,1,,
C0360400,704,576,,,3,0,0,,
C0361300,704,576,,,3,0,1,,
C0361400,704,576,,,3,0,1,,
C0361500,704,576,,,3,0,1,,
C0361600,704,576,,,3,0,1,,
C0362100,704,576,,,3,0,0,,
C0362200,704,576,,,3,0,1,,Moving camera
C0362300,704,576,,,3,0,1,,Moving camera
C0362703,704,576,,,3,0,1,,Parking
C0362704,704,576,,,0,0,1,,
C0362801,704,576,,,0,0,1,,Parking
C0362802,704,576,,,3,0,2,,
C0363101,704,576,,,3,0,2,,
C0363201,704,576,,,3,0,1,,
C0363400,704,576,,,0,0,1,,
C0363500,1280,720,,,3,1,1,,Parking
C0363800,1280,720,,,3,1,0,,Parking
C0363900,1280,720,,,3,1,1,,Parking
C0364000,1280,720,,,3,1,2,,Parking
C0364700,1280,720,,,3,1,1,,
C0364800,1280,720,,,3,1,1,,
C0364900,1280,720,,,3,1,0,,
C0365000,1280,720,,,3,1,1,,
C0365900,1280,720,,,3,1,1,,
C0366000,1280,720,,,3,1,1,,
C0366101,1280,720,,,3,1,1,,
C0366102,1280,720,,,3,1,1,,
C0366103,1280,720,,,3,1,1,,
C0366104,1280,720,,,3,1,1,,
C0366109,1280,720,,,2,1,0,,
C0366301,1280,720,,,3,1,1,,
C0366302,1280,720,,,3,1,1,,
C0366309,1280,720,,,2,1,0,,
C0366400,1280,720,,,3,1,1,,
C0366501,704,576,,,3,0,1,,
C0366502,704,576,,,3,0,1,,
C0366509,704,576,,,2,0,0,,
C0367502,,,1,,,,,,
C0367602,1280,720,,,0,1,1,,
C0450109,704,576,,,0,0,1,,
C0450201,1280,720,,,3,1,1,,
C0450202,1280,720,,,3,1,1,,
C0450203,1280,720,,,3,1,1,,
C0450204,1280,720,,,3,1,1,,
C0450209,1280,720,,,2,1,1,,
C0450301,704,576,,,3,0,1,,
C0450302,704,576,,,3,0,1,,
C0450303,704,576,,,3,0,1,,
C0450304,704,576,,,3,0,2,,
C0450309,704,576,,,2,0,0,,
C0450401,1280,720,,,3,1,1,,
C0450402,1280,720,,,3,1,1,,
C0450409,1280,720,,,2,1,1,,
C0450501,704,576,,,0,0,1,,
C0450601,1280,720,,,0,1,1,,
C0450602,1280,720,,,3,1,1,,
C0450609,1280,720,,,2,1,1,,
C0450701,1280,720,,,3,1,2,,
C0450702,1280,720,,,3,1,2,,
